title,plus_code,latitude,longitude
Anjang fishing,6P58JVQH+MR,-6.360782,106.879568
Taekwondo Garda Club unit Dahlia,6P58MV2M+H9,-6.348594,106.883473
Junior Futsal & Fitness,6P58MV3F+F5,-6.346258,106.872886
Vins Swimming Course,6P58MV59+HX,-6.341032,106.869931
Private Muay Thai,6P58MVF7+G9,-6.326161,106.863442
RAY JUDO CLUB CIJANTUNG,6P58MVJ3+X8,-6.317506,106.853317
batavia gym,6P58MVFM+72,-6.326755,106.882578
Lapangan Ijo Kavling Thomas,6P58MVFV+GV,-6.326192,106.89473
Dojo Karate JUTSU KAIZEN,6P58MVGV+HX,-6.323622,106.894906
Tanah Merdeka Ping Pong Club,6P58MVMH+PP,-6.315663,106.879368
Layanan Posyandu Mawar 2,6P58MVPH+6Q,-6.314472,106.879389
Sanggar Senam Nuraini,6P58MVQH+27,-6.312451,106.878154
Yogi,6P58MVRG+7P,-6.309355,106.876802
Fitnes Asr.Rindam Jaya,6P58PV23+QG,-6.298016,106.853762
Join Fitness,6P58PV6G+FJ,-6.288757,106.876524
Anjaney Yoga,6P58PVG3+28,-6.274989,106.853275
Suvarna Golf Academy,6P58PV7W+G4,-6.286242,106.895313
Dojo Halim P. Shorinji Kempo,6P58PVXJ+HW,-6.251074,106.882282
GOR Merpati Halim Perdana Kusuma,6P58PVXM+J2,-6.250935,106.88256
Mey 17 studio,6P58PVF6+97,-6.276575,106.860626
Kantor Pusat Mahatma,6P58MW27+H5,-6.348582,106.912943
Rodas Fitness Center,6P58MW45+X4,-6.342586,106.907838
Aserra Golf Academy,6P58MW93+PF,-6.330674,106.903702
PANTI PIJAT TUNA NETRA SAYEM,6P58MV2J+R9,-6.347905,106.88096
Lapangan Bulu Tangkis,6P58MV3Q+6M,-6.346991,106.889128
ikigai dojo 2 ( kyokushin karate ),6P58MWC2+QQ,-6.328046,106.901938
SHIDOKAN KARATE - KICK BOXING,6P58MWC2+QQ,-6.328024,106.901927
TMB setapak,6P58MWC4+4J,-6.329634,106.906521
Padang Golf,6P58MWF8+5M,-6.327056,106.916654
Basecamp Barok,6P58MWF3+9M,-6.326577,106.904172
Al Fitness,6P58MWJ3+JX,-6.318385,106.904955
Nice Fun Club,6P58MWQ6+92,-6.311531,106.910005
Yoga Ibu Hamil Lubang Buaya @yogabumil,6P58PW33+QC,-6.295609,106.903512
Muay Thai Bekasi - Strike Training Camp,6P58PWWQ+HV,-6.253528,106.939733
Galaxy Fitness,6P58QW3P+65,-6.246996,106.935403
PTM Phank Zhat,6P58QW34+5H,-6.247092,106.906428
"""Sanggar Senam Karina""",6P58QW4P+J6,-6.243404,106.935501
Calis Marinir Ketum Rexbit,6P58QW7G+27,-6.237464,106.92567
Power Fit Studio,6P58QW65+8C,-6.239222,106.908601
Popeye Gym Fitness Center,6P58QW69+C9,-6.238977,106.91845
Qawiiy Gym,6P58QW78+H6,-6.236013,106.915556
BKT Pondok Kelapa,6P58QWCF+QX,-6.228121,106.924886
Studio Senam Putri 2,6P58QW52+X5,-6.240021,106.900487
Aqila Course,6P58QV7J+WP,-6.235242,106.881861
Taman NKRI KBT,6P58QWCH+QP,-6.228008,106.929324
TUK ESTETIKA,6P58QWFG+WC,-6.225242,106.926104
Ra Training Camp Indonesia - Pondok Kopi,6P58QWGW+2W,-6.224952,106.947259
Taekwondo RTC Liberika,6P58QWGW+52,-6.22452,106.945113
Nc JUARA,6P58QWGH+H6,-6.223593,106.928044
Home ODDY’s,6P58QWHQ+9F,-6.221516,106.938685
Luna Studio,6P58PRW7+RH,-6.252887,106.81395
TAEKWONDO FITHALL KALIBATA TENGAH,6P58PRQM+CC,-6.261427,106.83353
Pijat fullbody,6P58PRQJ+VX,-6.260317,106.83241
Burns Studio,6P58QR56+3V,-6.24234,106.812134
Empire Fit Club - Mega Kuningan,6P58QRFG+MW,-6.225873,106.827362
Fitness Center,6P58QRHM+C6,-6.221449,106.833065
sanggar senam anjana manise,6P58PVG3+97,-6.274094,106.853219
Jakarta barat,6P58PRJX+WJ,-6.267693,106.849002
Adi pelatih muaythai tinju,6P58PRQX+9W,-6.261521,106.849841
Lapangan tenis Pusat Kesehatan TNI-AD,6P58PVQ8+PX,-6.260691,106.86741
PIJAT SEHAT KELUARGA,6P58PVQH+P4,-6.260671,106.877783
Taufik Hidayat,6P58PVQH+W7,-6.260218,106.878172
Member Herbalife Jakarta Selatan,6P58PVV3+G6,-6.256229,106.853037
Dojo Shorinji Kempo Universitas Trilogi,6P58PRWX+RM,-6.252933,106.849208
Satria Muda Indonesia Komda DKI Jakarta,6P58QR8R+32,-6.234854,106.840019
Healthy Diet Herbalife Coach Tebet,6P58QV83+XH,-6.232588,106.853903
RANTING TEBET BARAT KARATE INKAI,6P58QV92+24,-6.232401,106.850291
FIT HUB Otista Raya,6P58QV89+P2,-6.233136,106.867594
Sanggar Senam 208,6P58QVP6+MC,-6.213346,106.861124
Mars gym,6P58QVQG+28,-6.212497,106.875867
Aiki Kenkyukai Tebet Dojo,6P58QRCX+MX,-6.228334,106.849978
Perguruan Pencak Silat Sirrul Hikmah Thoha Wal Amilin,6P58QRCR+Q6,-6.22805,106.840555
FAN Academy,6P58QRCX+XG,-6.227566,106.848832
"Merpati Putih Kolat Tebet, Jakarta Selatan",6P58QVF2+23,-6.227487,106.850232
Pasar lokbin blok b,6P58QRHQ+RJ,-6.220394,106.839117
Budokai,6P58QRQW+29,-6.21241,106.845965
Biofit Indonesia,6P58QRQW+C2,-6.211396,106.845107
Rumah Nutrisi Syammar,6P58QRVR+GJ,-6.206236,106.841518
Street Workout BKT,6P58QWCC+RP,-6.22798,106.921824
Guardian,6P58QWFF+75,-6.226853,106.922956
ZY Sport centre,6P58QWGF+X9,-6.222556,106.923418
Vins Beauty care,6P58QWHC+2J,-6.222456,106.921604
Gor PB. Kamus,6P58QWH8+6X,-6.221893,106.917469
Padepokan Silat RAJAWALI PUTIH,6P58QWHP+H3,-6.22102,106.935153
New Alc Gym,6P58QWJJ+C9,-6.218976,106.930978
Lapangan Tenis Anggrek,6P58QWJG+GG,-6.21873,106.926285
Kenangan Emas,6P58QXJ2+HH,-6.218567,106.951447
Basecame S.P.K,6P58QWJQ+MQ,-6.218332,106.939388
Gus Salim Terapis,6P58QXJ4+M7,-6.218272,106.955682
SPFOC Senam pagi flay over cakung,6P58QWJX+RG,-6.217989,106.948797
Taman alam,6P58QXJ2+W3,-6.217635,106.950137
Sanggar Kue Talam Cakung,6P58QXM2+2H,-6.217401,106.951433
Tenda biru,6P58QWMH+7Q,-6.21687,106.929415
Kediaman Nana Ibrohim,6P58QWMP+7P,-6.216835,106.936805
Go green,6P58QWPR+27,-6.214986,106.940712
Pemancingan Galatama lele ms,6P58QWPP+CC,-6.21397,106.93611
Adm Fitness Duren Sawit,6P58QWWQ+8X,-6.204183,106.939938
KinzaHome,6P58QWWP+JJ,-6.203417,106.936583
D' FAM,6P58QWWQ+RW,-6.202922,106.939803
PTM. PRATAMA,6P58RX26+3J,-6.199843,106.961595
PT. TRAINING HRD SmartGlobal,6P58RX26+QP,-6.198072,106.961813
Nutrisi Cereal Deswita,6P58RX24+VF,-6.197776,106.956239
Sahuri SHR,6P58RW3M+2G,-6.197461,106.933867
3 Fit Community,6P58RV2Q+QQ,-6.198043,106.889411
Sport Club The Royal Redidence,6P58RX35+G6,-6.196142,106.958069
ROYAL RESIDENCE MASJID,6P58RX44+85,-6.194184,106.955401
Suplemen Kesehatan,6P58RW4P+P5,-6.193182,106.935459
BENZ FITNESS PENGGILINGAN,6P58RW4P+X6,-6.192527,106.935543
Sekertariat PAC PAGAR NUSA CAKUNG,6P58RW5R+WR,-6.190163,106.942008
Budi Fitness Center,6P58RW2C+4V,-6.199716,106.922228
agen fiforlif jakarta,6P58RWG5+38,-6.174791,106.908276
Komplek jawara Sunda Cirebon,6P58RW9X+92,-6.181562,106.947561
Prime Time Fitness,6P58RWCX+XX,-6.177579,106.949918
Fitria,6P58RWFV+W9,-6.175219,106.943391
Taekwondo Formula Glori JGC,6P58RXG6+VR,-6.172845,106.962056
